src,dst,relationship,cost
Roekebosch,Sijthuizen,EROAD,205
Rollecate,Westelbeers,EROAD,209
Ronduite,Paddepoel,EROAD,125
Rosengaarde,Kinnum,EROAD,64
Rossum,Limbricht,EROAD,98
Rouveen,Bath,EROAD,51
Ruitenveen,Maastricht,EROAD,338
Rutbeek,Asschat,EROAD,153
Saasveld,Kattenbosch,EROAD,257
Schalkhaar,Sellingerzwarteveen,EROAD,298
Scheerwolde,Nagele,EROAD,344
Schoolbuurt,Stegeren,EROAD,301
Schuilenburg,Deurne,EROAD,292
Schuinesloot,Roeleveen,EROAD,215
Sibculo,Meerlo,EROAD,119
Sint Isidorushoeve,Krimpen aan de Lek,EROAD,182
Sint Jansklooster,Zuidveld,EROAD,145
Slagharen,Abtswoude,EROAD,385
Slingenberg,Topweer,EROAD,129
Sluis Zeven,Lammerenburg,EROAD,303
Snippeling,Wie,EROAD,256
Sponturfwijk,Saaksum,EROAD,261
Spoolde,Steenwijk,EROAD,349
Staphorst,Balmahuizen,EROAD,25
Steenwijk,Rogat,EROAD,383
Steenwijkerwold,Heistraat,EROAD,180
Stegeren,Oosterens,EROAD,209
Stegerveld,Breedenbroek,EROAD,60
Stepelo,Scheepstal,EROAD,137
Stokkum,Maarsbergen,EROAD,216
Streukel,Opmeer,EROAD,57
Strooiendorp,Papenvoort,EROAD,308
Thij,Rafelder,EROAD,165
Tilligte,De Streek,EROAD,186
Tjoene,Oensel,EROAD,33
Tubbergen,Klaterbuurt,EROAD,394
Tuk,Someren-Eind,EROAD,163
Tusveld,Belvert,EROAD,211
Twekkelo,Boven-Haastrecht,EROAD,113
Usselo,Den Oosterhuis,EROAD,237
Varsen,Hatsum,EROAD,48
Vasse,Bijsterveld,EROAD,66
Veecaten,Baakhoven,EROAD,40
Veldhoek,Hoogkerk,EROAD,61
Venebrugge,Marwijksoord,EROAD,181
Vennenberg,Hemrikerverlaat,EROAD,146
Vilsteren,Laag-Heukelom,EROAD,23
Vinkenbuurt,Wanroij,EROAD,62
Vollenhove,Groenendijk,EROAD,125
Volthe,Bommerig,EROAD,377
Vriezenveen,Stadse Dijk,EROAD,77
Vroomshoop,Jagerswijk,EROAD,41
Wanneperveen,Vogelfort,EROAD,89
Weerselo,Wolfhagen,EROAD,311
Weitemanslanden,Harssens,EROAD,289
Weleveld,Aartswoud,EROAD,307
Welsum,Polsbroek,EROAD,36
Welsum,Poonhaven,EROAD,368
Welsumerveld,Lieren,EROAD,164
Wesepe,Waardhuizen,EROAD,29
Westeinde,Engwierum,EROAD,62
Westerhaar-Vriezenveensewijk,Negenhuizen,EROAD,271
West Geesteren,Elim,EROAD,115
Wetering,De Beekkant,EROAD,246
Wetserhuizingerveld,Folsgare,EROAD,147
Wiene,Hout,EROAD,351
Wierden,Rakens,EROAD,170
Wijhe,Babberich,EROAD,28
Wijthmen,Harkema-Opeinde,EROAD,254
Willemsoord,Klazienaveen-Noord,EROAD,241
Wilsum,IJzevoorde,EROAD,37
Windesheim,Stroobos,EROAD,250
Witharen,Dwarsgracht,EROAD,156
Witman,Heijenrade,EROAD,225
Witte Paarden,Ballum,EROAD,374
Zalk,Egchel,EROAD,44
Zalné,Knaphof,EROAD,193
Zeesse,Kuzemerbalk,EROAD,316
Zeldam,Heek,EROAD,247
Zenderen,Oukoop,EROAD,202
Zoeke,Rheeze,EROAD,344
Zuideinde,Wijk bij Duurstede,EROAD,398
Zuidloo,Kerkbuurt,EROAD,213
Zuidveen,'t Buurtje,EROAD,110
Zuna,Rijckholt,EROAD,177
Zwartewatersklooster,Weerd,EROAD,40
Zwartsluis,Molenhoek,EROAD,235
Zwolle,Morra,EROAD,32
Aardam,Korteraar,EROAD,270
Aarlanderveen,Tielse Hoeve,EROAD,39
Abbenbroek,Galder,EROAD,44
Abtswoude,Roodkerk,EROAD,371
Achterbroek,Oost-Knollendam,EROAD,372
Achter-Lindt,Stampersgat,EROAD,43
Achthoven,Vijfhoek,EROAD,170
Achthuizen,Finkeburen,EROAD,185
Achttienhoven,Strepen,EROAD,42
Alblasserdam,Broekzijde,EROAD,186
Alphen aan den Rijn,De Loofaert,EROAD,144
Ammerstol,Hussenberg,EROAD,193
Arkel,Wassinkbrink,EROAD,149
Arnoud,Dijkshoek,EROAD,247
Baakwoning,De Schietbaan,EROAD,350
Baanhoek,Appeltern,EROAD,41
Barendrecht,Wellerlooi,EROAD,364
Barendrechtse Veer,De Hem,EROAD,131
Battenoord,Ponte,EROAD,241
Beerenplaat,Sappemeer,EROAD,207
Benedenberg,Westerklooster,EROAD,63
Beneden-Haastrecht,Wely,EROAD,127
Benedenheul,Makkum,EROAD,87
Benedenkerk,Spitsendijk,EROAD,213
Bent,Zwiep,EROAD,22
Benthuizen,Hellendoorn,EROAD,36
Bergambacht,Strijensas,EROAD,389
Bergschenhoek,Laaghalen,EROAD,355
Bergstoep,Pikveld,EROAD,392
Berkel,Koedijk,EROAD,22
Berkel en Rodenrijs,Okswerd,EROAD,231
Berkenwoude,De Hout,EROAD,339
Biert,Nijhoven,EROAD,184
Bilderdam,Woud,EROAD,132
Blaaksedijk,Kamperveen,EROAD,341
Blaker,Vloeieind,EROAD,341
Bleiswijk,Wijnjeterpverlaat,EROAD,79
Bleskensgraaf,Kreijel,EROAD,246
Bloemendaal,Kerkwerve,EROAD,387
Blokland,Nieuwstad,EROAD,172
Bodegraven,Zeesse,EROAD,272
Bolnes,Kitskensberg,EROAD,389
Bommelskous,De Houw,EROAD,57
Bonrepas,Heierhoeve,EROAD,169
Boskoop,Spaanshuisken,EROAD,273
Bovenberg,Kleine Bottel,EROAD,165
Boven-Haastrecht,Uppel,EROAD,202
Boven-Hardinxveld,Braamberg,EROAD,93
Bovenkerk,Almelo,EROAD,179
Brandwijk,Zwaantje,EROAD,90
Brielle,Niekerk,EROAD,281
Burgersdijk,Amen,EROAD,122
Capelle aan den IJssel,Oosterstreek,EROAD,400
Carnisse,De Sterre,EROAD,151
Cillaarshoek,Veenwouden,EROAD,353
Dalem,Uitwellingerga,EROAD,177
De Donk,Megchelen,EROAD,368
De Driesprong,Hantumerhoek,EROAD,310
De Engel,Tubbergen,EROAD,349
De Hem,Rietveld,EROAD,385
De Hoek,Middel,EROAD,315
De Hoek,Amerongen,EROAD,338
De Klei,Nieuw- en Sint Joosland,EROAD,297
De Klem,Selissen,EROAD,194
De Kooi,Zegge,EROAD,353
Delfgauw,Kranenburg,EROAD,198
Delft,Zondveld,EROAD,96
De Lier,De Laan,EROAD,379
Den Bommel,Waaxens,EROAD,134
Den Deijl,Brommelen,EROAD,233
Den Dool,De Wijk,EROAD,350
Den Haag (The Hague),Wehl,EROAD,146
Den Hoorn,Gasselterboerveen,EROAD,20
Den Hoorn,Haagoord,EROAD,305
De Pan,Naarden,EROAD,389
De Roemer,Wapse,EROAD,180
De Rotte,Ulft,EROAD,82
De Wacht,Rinkesfort,EROAD,343
De Zilk,Oostvoorne,EROAD,176
Dirksland,Hersend,EROAD,120
Dordrecht,Herkingen,EROAD,355
Driebruggen,Schaft,EROAD,351
Dubbeldam,Bergenhuizen,EROAD,324
Gaag,Niedorperverlaat,EROAD,50
Geervliet,Putte,EROAD,399
Gelderswoude,Oosseld,EROAD,117
Gelkenes,Trent,EROAD,377
Giessenburg,Kruishoofd,EROAD,283
Giessendam,Nieuw-Vennep,EROAD,272
Giessen-Oudekerk,Langerak,EROAD,290
Gijbeland,Opwierde,EROAD,186
Gnephoek,De Mortel,EROAD,244
Goedereede,Lepelstraat,EROAD,63
Goidschalxoord,Matena,EROAD,73
Gooland,Nieuwenhagen,EROAD,345
Gorinchem,Ooij,EROAD,177
Gouda,Nijeveen,EROAD,90
Gouderak,Hanssum,EROAD,392
Goudriaan,Zwaag,EROAD,132
Goudseweg,Vijcie,EROAD,357
Goudswaard,Oostrum,EROAD,105
Graafland,Wellseind,EROAD,125
's-Gravendeel,Brunssum,EROAD,169
's-Gravenweg,Nieuwleusen,EROAD,240
's-Gravenzande,Zevenhuizen,EROAD,135
Greup,Californië,EROAD,193
Groenendijk,Borkel,EROAD,226
Groeneweg,Milheeze,EROAD,254
Groot-Ammers,Overberg,EROAD,323
Groot Hitland,Eppenzolder,EROAD,219
Haagoord,Eemdijk,EROAD,90
't Haantje,Overgeul,EROAD,90
Haastrecht,Grafhorst,EROAD,239
Halfweg,De Marshoek,EROAD,223
Havenhoofd,Nieuw-Amsterdam,EROAD,160
Hazerswoude-Dorp,Terpoorten,EROAD,336
Hazerswoude-Rijndijk,Noordhoek,EROAD,59
Heenvliet,Burum,EROAD,342
Heenweg,Roond,EROAD,315
Heerjansdam,De Lethe,EROAD,203
Heijplaat,Kaumershoek,EROAD,196
Heimansbuurt,De Hamert,EROAD,114
Heinenoord,Mark,EROAD,113
Hekelingen,Armhoede,EROAD,27
Helhoek,Kleine Wiske,EROAD,354
Hellevoetsluis,Pyramide,EROAD,113
Hendrik-Ido-Ambacht,Kaathoven,EROAD,82
Herkingen,Eesterga,EROAD,58
Het Beijersche,Eind,EROAD,272
Hillegom,Laudermarke,EROAD,106
Hitsertse Kade,Hoogeind,EROAD,351
Hodenpijl,Heino,EROAD,176
Hoek van Holland,Culemborg,EROAD,147
Hogebrug,De Hees,EROAD,147
Hogeveen,Rozendaal,EROAD,266
Hollevoeterbrug,Zeerijp,EROAD,230
Hoogblokland,Ansen,EROAD,98
Hoogmade,Heikant,EROAD,51
Hoogvliet,Groesbeek,EROAD,335
Hoorn,Jannendorp,EROAD,381
Hoornaar,Oldelamer,EROAD,196
IJssellaan,Prinsenbeek,EROAD,245
IJzerenbrug,Holt,EROAD,252
Kaag,Noordijkerveld,EROAD,309
Kadijk,Nunspeet,EROAD,353
Kandelaar,Vierverlaten,EROAD,393
Katwijk aan den Rijn,Wolphaartsdijk,EROAD,177
Katwijk aan Zee,Den Hulst,EROAD,245
Katwijkerlaan,Nieuwerkerk,EROAD,378
Keizersdijk,Gieterzandvoort,EROAD,305
Kerkbuurt,'t Vlaandertje,EROAD,245
Kijfhoek,Etzenrade,EROAD,98
Kinderdijk,Santfort,EROAD,254
Klaaswaal,Kerkeinde,EROAD,160
Klein-Delfgauw,Hoedekenskerke,EROAD,307
Kleine-Lindt,Bulkemsbroek,EROAD,332
Klein Hitland,Markvelde,EROAD,53
Klinkenberg,Atzeburen,EROAD,218
Koedood,Halfweg,EROAD,266
Kooiwijk,Maarn,EROAD,269
Koolwijk,Scharneburen,EROAD,326
Kop van 't Land,Schouwerzijl,EROAD,41
Kortenoord,Zwaanshoek,EROAD,375
Korteraar,Kabel,EROAD,70
Kortland,Voorsterveld,EROAD,276
Koudekerk aan den Rijn,Amsterdamscheveld,EROAD,186
Kralingse Veer,Kalishoek,EROAD,276
Kranendijk,Wessingtange,EROAD,316
Krimpen aan de Lek,Zuidland,EROAD,55
Krimpen aan den IJssel,Wilhelmsoord,EROAD,124
Kruiningergors,Hogeweg,EROAD,346
Kruisweg,Westzaan,EROAD,304
Kuipersveer,Schaaphok,EROAD,227
Kwintsheul,'s-Gravenweg,EROAD,224
Lage Weg,Bittens,EROAD,343
Langeraar,Piekezijl,EROAD,124
Langerak,Knollemanshoek,EROAD,111
Langeweide,Spijkenisse,EROAD,46
Langstraat,Blijdenstein,EROAD,187
Leiden,Kreek,EROAD,57
Leiderdorp,Tricht,EROAD,265
Leidschendam,Zeeland,EROAD,213
Leimuiden,Vreeland,EROAD,218
Lekkerkerk,Lunen,EROAD,213
Lierhand,Boshoven,EROAD,244
Liesveld,Oud Gastel,EROAD,291
Lisse,De Noord,EROAD,175
Loete,Oostermeer,EROAD,60
Maaldrift,Boeket,EROAD,374
Maasdam,Posterholt,EROAD,95
Maasdijk,Hierden,EROAD,367
Maasdijk,Hanik,EROAD,263
Maasland,Driehuizen,EROAD,34
Maassluis,Nagelbeek,EROAD,310
Mariëndijk,Zelhem,EROAD,54
Matena,Oud-Ade,EROAD,304
Meije,Erica,EROAD,345
Melissant,Heide,EROAD,131
Middelburg,Enkhuizen,EROAD,356
Middelharnis,Fort,EROAD,289
Middelsluis,Leutingewolde,EROAD,114
Mijnsheerenland,Pieterzijl,EROAD,212
Minkeloos,Leens,EROAD,347
Moerkapelle,Nieuwe Statenzijl,EROAD,159
's-Molenaarsbuurt,Woldendorp,EROAD,149
Molenaarsgraaf,Hoogstraat,EROAD,292
Monster,Rijsenhout,EROAD,111
Mookhoek,Benedeneind,EROAD,45
Moordrecht,Geysteren,EROAD,80
Naaldwijk,Manen,EROAD,218
Neder-Hardinxveld,Ospel,EROAD,186
Negenhuizen,De Loo,EROAD,31
Nieuw-Beijerland,Genemuiden,EROAD,240
Nieuwendijk,Raren,EROAD,34
Nieuwenhoorn,Slabroek,EROAD,225
Nieuwerbrug,Holthuizen,EROAD,111
Nieuwerkerk aan den IJssel,De Bosjes,EROAD,140
Nieuwe-Tonge,Etten,EROAD,240
Nieuwe Tuinen,Vessem,EROAD,386
Nieuwe Wetering,Hattem,EROAD,42
Nieuwkoop,Illikhoven,EROAD,101
Nieuw-Lekkerland,Brummen,EROAD,321
Nieuwpoort,Schorebrug,EROAD,88
Nieuwveen,Noord Deurningen,EROAD,201
Noordeinde,Bathmen,EROAD,366
Noordeinde,Oosterland,EROAD,252
Noordeloos,Hollenberg,EROAD,103
Noorden,Hayum,EROAD,126
Noordsebuurt,Raaieind,EROAD,182
Noordse Dorp,Esch,EROAD,249
Noordwijk aan Zee,Mariënberg,EROAD,275
Noordwijk-Binnen,Dalmsholte,EROAD,82
Noordwijkerhout,Oudendijk,EROAD,192
Noordzijde,Hoogmade,EROAD,360
Nootdorp,Diepenbroek,EROAD,384
Noukoop,Lankhorst,EROAD,204
Numansdorp,Sluiskil,EROAD,396
Oegstgeest,Zeijen,EROAD,59
Ofwegen,"Bong, Velden",EROAD,394
Ooltgensplaat,Lochem,EROAD,136
Oostbuurt,Graft,EROAD,69
Oostdijk,Lucaswolde,EROAD,259
Oosteind,Stieltjeskanaal,EROAD,331
Oosteinde,Eikenheuvel,EROAD,186
Oostendam,Boesingheliede,EROAD,24
Oosthoek,Scheulder,EROAD,206
Oostvoorne,Keldonk,EROAD,168
Opperduit,Bato's Erf,EROAD,219
Ottoland,Luitert,EROAD,37
Oud-Ade,Pauluspolder,EROAD,241
Oud-Alblas,Kleinemeer,EROAD,95
Oud-Beijerland,Rosmalen,EROAD,345
Oud-Bodegraven,Eys,EROAD,372
Ouddorp,Schadijk,EROAD,247
Oudeland,Lemperhoek,EROAD,154
Oude Leede,Nieuw-Annerveen,EROAD,85
Oude-Molen,Klimmen,EROAD,184
Oudendijk,Lutjewolde,EROAD,213
Oudendijk,Frieschepalen,EROAD,85
Oudenhoorn,Stroodorp,EROAD,89
Ouderkerk aan den IJssel,Oud-Vroenhoven,EROAD,233
Oudesluis,Luissel,EROAD,370
Oude-Tonge,Duurkenakker,EROAD,342
Oude Wetering,Nieuweschild,EROAD,377
Oud-Reeuwijk,Den Braam,EROAD,326
Oud Verlaat,Oosterwijzend,EROAD,292
Oukoop,Kreileroord,EROAD,287
Overslingeland,Hoekeinde,EROAD,231
Papendrecht,Strikberg,EROAD,144
Papenveer,Strubben,EROAD,304
Park Leeuwenbergh,Katgershoek,EROAD,80
Pernis,Oostzaan,EROAD,337
Piershil,Den Dolder,EROAD,225
Pijnacker,Spijkerboor,EROAD,375
Pinkenveer,Nieuwe Meer,EROAD,332
Platteweg,Cortenoever,EROAD,180
Poeldijk,Grootwijngaarden,EROAD,247
Poortugaal,Heische Wal,EROAD,123
Puttershoek,Sandfirden,EROAD,270
Randenburg,Vijfhuis,EROAD,367
Reedijk,Grotel,EROAD,50
Reeuwijk,Roermond,EROAD,81
Reeuwijk-Dorp,Kubaard,EROAD,303
Rhoon,Schaijk,EROAD,229
Ridderbuurt,Usselo,EROAD,44
Ridderkerk,Meddo,EROAD,187
Rietveld,Heemserveen,EROAD,284
Rietveld,Elahuizen,EROAD,87
Rijnsaterwoude,Carnisse,EROAD,22
Rijnsburg,Priesterink,EROAD,144
Rijpwetering,Bilderdam,EROAD,104
Rijsoord,Harkezijl,EROAD,177
Rijswijk,Nergena,EROAD,392
Rockanje,Luinjeberd,EROAD,348
Roeleveen,Wierum,EROAD,35
Roelofarendsveen,De Weere,EROAD,363
Rolpaal,Dale,EROAD,314
Rotterdam,Huisseling,EROAD,207
Rozenburg,Sint Geertruid,EROAD,153
Rozendaal,Heikant,EROAD,365
Ruigenhoek,Bruggen,EROAD,109
Sassenheim,Doorning,EROAD,185
Schelluinen,De Elft,EROAD,318
Schenkeldijk,IJhorst,EROAD,278
Schenkeldijk,Noordeinde,EROAD,55
Schiedam,Rietven,EROAD,102
Schipluiden,Hardeweer,EROAD,36
Schoonhoven,Ederveen,EROAD,295
Schoonouwen,Wirdum,EROAD,173
Schuring,Rohel,EROAD,226
Schuwacht,Voorburg,EROAD,114
Simonshaven,De Logt,EROAD,27
Sint Anthoniepolder,Jubbega Derde Sluis,EROAD,252
Sion,Het Vonderen,EROAD,319
Sliedrecht,Sjungadijk,EROAD,92
Slikkendam,Westerend Harich,EROAD,362
Sluipwijk,De Wijk,EROAD,255
Sommelsdijk,Vorchten,EROAD,347
Spijkenisse,Korte Akkers,EROAD,377
Spoelwijk,Boornzwaag,EROAD,378
Stad aan 't Haringvliet,Deventer,EROAD,332
Steenplaats,Lange Heide,EROAD,134
Stein,Itens,EROAD,385
Stellendam,Noorderburen,EROAD,395
Stolwijk,Sibculo,EROAD,41
Stolwijkersluis,Bosch,EROAD,368
Stompwijk,Macharen,EROAD,215
Stormpolder,Raamsdonk,EROAD,399
Streefkerk,Heistraat,EROAD,133
Strijen,Veenhof,EROAD,219
Strijensas,Son,EROAD,184
Strijp,Neerloon,EROAD,285
Strype,Oudleusen,EROAD,243
Stuifakker,Selwerd,EROAD,371
Teijlingen,Lutterhartje,EROAD,304
Tempel,Hoornster,EROAD,46
Ter Aar,Lageweg,EROAD,193
Terbregge,Schans,EROAD,324
Ter Heijde,Azewijn,EROAD,334
Ter Lucht,Groot-Valkenisse,EROAD,54
Tiengemeten,'t Zand,EROAD,312
Tinte,Rijperkerk,EROAD,117
Tussenlanen,Westerzand,EROAD,368
Tweede Tol,Oostburgsche Brug,EROAD,61
Tweede Vlotbrug,Gendringen,EROAD,384
Valkenburg,Smallebrugge,EROAD,350
Vierpolders,Rotstergaast,EROAD,377
Visschershoek,Nijrees,EROAD,166
Vlaardingen,Nuil,EROAD,327
Vlieland,Portengen,EROAD,137
Vlist,Alphen,EROAD,328
Vlotbrug [nl],Emmeloord,EROAD,394
Voorburg,Bergen,EROAD,67
Voorhout,Houwerzijl,EROAD,82
Voorschoten,Wetserhuizingerveld,EROAD,117
Voorweg,Nieuwendam,EROAD,38
Vriezekoop,Oosterwijk,EROAD,91
Vuilendam,Klinkenberg,EROAD,84
Vuurbaken,Beerze,EROAD,248
Waal,Bakkersdam,EROAD,25
Waarder,Oele,EROAD,62
Waddinxveen,Aan de Bergen,EROAD,90
Warmond,Looieind,EROAD,264
Wassenaar,Noordeinde,EROAD,258
Wateringen,Huigsloot,EROAD,49
Weijland,Benedeneind,EROAD,292
Weijpoort,Watergang,EROAD,233
Weipoort,Geerdijk,EROAD,304
Westdijk,Veenendaal,EROAD,205
Westeinde,Merlenberg,EROAD,233
Westeinde,Valkenhorst,EROAD,394
Westerlee,Cornwerd,EROAD,92
Westmaas,Nabben,EROAD,223
Wevershoek,Tuindorp Oostzaan,EROAD,28
Wieldrecht,Vissersburen,EROAD,32
Wijngaarden,De Rotte,EROAD,208
Willemsdorp,Berkmeer,EROAD,206
Wilsveen,Den Dool,EROAD,345
Windas,Berkeind,EROAD,282
Woerdense Verlaat,Vennenberg,EROAD,117
Woubrugge,Dassemus,EROAD,350
't Woudt,Mijnden,EROAD,339
Zevenhoven,Dalerpeel,EROAD,309
Zevenhuizen,Gnephoek,EROAD,98
Zevenhuizen,Overveen,EROAD,172
Zinkweg,Zandeweer,EROAD,144
Zoetermeer,Heiloo,EROAD,331
Zoeterwoude-Dorp,Echterbosch,EROAD,252
Zoeterwoude-Rijndijk,Uitwierde,EROAD,272
Zouteveen,Deursen-Dennenburg,EROAD,398
Zuid-Beijerland,Hoekelum,EROAD,58
Zuidbroek,Milschot,EROAD,120
Zuidbuurt,Koudekerk aan den Rijn,EROAD,31
Zuideinde,Zandkant,EROAD,306
Zuidland,Genooi,EROAD,275
Zuidzijde,Doornspijk,EROAD,147
Zuidzijde,Exmorrazijl,EROAD,26
Zuidzijde,Diepenheim,EROAD,395
Zwaantje,Ulrum,EROAD,339
Zwammerdam,Bloemendaal,EROAD,95
Zwanegat,Wimmenum,EROAD,65
Zwartewaal,Serooskerke,EROAD,93
Zwartsluisje,Hengstheuvel,EROAD,260
Zwet,Nieuw-Heeten,EROAD,346
Zweth,Den Helder,EROAD,386
Zwijndrecht,Kapel,EROAD,226
Aan de Zuwe,Kreiel,EROAD,154
Abcoude,Stad van Gerwen,EROAD,322
Achterberg,Sluis De Piet,EROAD,153
Achterbos,Westerwijtwerd,EROAD,229
Achterdijk,Zouteveen,EROAD,359
Achterveld,Zwartewaal,EROAD,69
Achterwetering,Megelsum,EROAD,327
Achthoven,Wanneperveen,EROAD,386
Achthoven-Oost,Obdam,EROAD,349
Achthoven-West,De Horck,EROAD,232
Achttienhoven,Surhuizum,EROAD,210
Alendorp,Rhederbrug,EROAD,144
Ameide,Nuenen,EROAD,248
Amerongen,Huinen,EROAD,293
Amersfoort,Noorderbuurt,EROAD,326
Amstelhoek,Vaartwijk,EROAD,267
Asschat,Ligtenberg,EROAD,325
Austerlitz,Heisterbrug,EROAD,253
Baambrugge,Kouwenberg,EROAD,20
Baambrugse Zuwe,Lageheide,EROAD,224
Baarn,Achthoven,EROAD,321
Barwoutswaarder,Egmond-Binnen,EROAD,150
Beerschoten,Groot Agelo,EROAD,46
Bekenes,Lage Berkt,EROAD,55
Benedeneind,Munsterscheveld,EROAD,330
Benschop,Achterveld,EROAD,390
Bilthoven,Kulsdom,EROAD,130
Blauwkapel,Oosterik,EROAD,178
Blokland,Ophuis,EROAD,269
Boeicop,Vroenhout,EROAD,121
Bosch en Duin,Krommeniedijk,EROAD,291
Breedeveen,Noord-Empe,EROAD,327
Breeveld,Borne,EROAD,393
Breudijk,Agodorp,EROAD,311
Breukelen,Broekland,EROAD,195
Broek,De Velde,EROAD,210
Bunnik,Oosterwolde,EROAD,68
Bunschoten,Peebos,EROAD,119
Bunschoten-Spakenburg,Oude-Molen,EROAD,351
Buurtsdijk,Steenenkamer,EROAD,149
Cabauw,Hodenpijl,EROAD,221
Cattenbroek,Onnen,EROAD,127
Cothen,Vries,EROAD,207
Darthuizen,Heioord,EROAD,292
Dashorst,Eexterveen,EROAD,37
De Bilt,Kiel-Windeweer,EROAD,212
De Birkt,Bingelrade,EROAD,172
De Brand,Meijldoorn,EROAD,24
De Bree,Schouwen,EROAD,228
De Bunt,Leuken,EROAD,167
De Glashut,Moerdijk,EROAD,277
De Groep,Heeswijk,EROAD,190
De Heul,Drachtstercompagnie,EROAD,313
De Hoef,Boven-Leeuwen,EROAD,361
De Meern,Warstiens,EROAD,72
Demmerik,Driewegen,EROAD,312
Den Bosch,Lakei,EROAD,214
Den Dolder,De Droo,EROAD,293
Den Ham,Banholt,EROAD,176
Den Oord,Toom,EROAD,78
Den Treek,Achterbos,EROAD,26
De Ruif,Rottum,EROAD,332
Diefdijk,Hedikhuizen,EROAD,34
Diemerbroek,Helwerd,EROAD,27
Donkereind,Den Hoorn,EROAD,355
Donkervliet,Punthorst,EROAD,377
Doorn,Terover,EROAD,111
Driebergen,Vleuten,EROAD,33
Driebergen-Rijsenburg,Mamelis,EROAD,239
Dwarsdijk,Oostrum,EROAD,292
Eembrugge,Spengen,EROAD,209
Eemdijk,Oosterdijk,EROAD,371
Eemnes,Wijckel,EROAD,27
Elst,Kleindorp,EROAD,349
Emminkhuizen,Het Hool,EROAD,64
Everdingen,Milt,EROAD,166
"Geer, De Ronde Venen",Rul,EROAD,299
"Geer, Vijfheerenlanden",Uilesprong,EROAD,388
Geerestein,Plasmolen,EROAD,385
Geestdorp,Giessendam,EROAD,30
Gemaal,Rijnsaterwoude,EROAD,286
Gerverscop,Horsthoek,EROAD,392
Gieltjesdorp,Terlet,EROAD,309
Goyse Dorp,De Winkel,EROAD,99
Graaf,Laag Spul,EROAD,305
Groenekan,Noordwijk-Binnen,EROAD,70
Groenlandsekade,Klijndijk,EROAD,68
Grote Melm,Kamerik,EROAD,131
Haagje,Engwerd,EROAD,383
Haanwijk,Westeremden,EROAD,298
Haarzuilens,Beckum,EROAD,372
Hagestein,De Gest,EROAD,178
Harmelen,Lisse,EROAD,180
Harmelerwaard,De Beek,EROAD,130
Haspel,Broekhorn,EROAD,185
Heemstede,Vergelt,EROAD,81
Hees,Langeheit,EROAD,82
Heeswijk,Zandvoort,EROAD,147
Hei- en Boeicop,Terheijl,EROAD,32
Hekendorp,De Steeg,EROAD,314
Helsdingen,Akkerput,EROAD,341
Hoenkoop,Klakbaan,EROAD,82
Hollandsche Rading,Kroddeburen,EROAD,335
Honswijk,Archem,EROAD,200
Hoogeind,De Hutten,EROAD,102
Hoogewaard,Kasteren,EROAD,399
Hoogland,Klein Loo,EROAD,146
Hooglanderveen,Molenhoek,EROAD,361
Houtdijken,Heikant,EROAD,354
Houten,Huisduinen,EROAD,150
Huis ter Heide,Burgwerd,EROAD,371
IJsselstein,Velp,EROAD,366
Jaarsveld,Peelsehuis,EROAD,158
Jannendorp,Langereis,EROAD,181
Kamerik,Eibersburen,EROAD,92
Kamerik-Mijzijde,Eerste Exloërmond,EROAD,257
Kanis,Stokhem,EROAD,208
Kedichem,"Berg, Meijel",EROAD,136
Kerklaan,Diefdijk,EROAD,362
Knollemanshoek,Tranendal,EROAD,382
Kockengen,Hoevestein,EROAD,48
Kortenhoeven,Molentje,EROAD,182
Kortgerecht,Vaardeburen,EROAD,196
Kortrijk,Steegsbroek,EROAD,358
Kromme Mijdrecht,Buiksloot,EROAD,125
Kromwijk,Klatering,EROAD,322
Laagnieuwkoop,Holterhoek,EROAD,182
Laareind,Voorne,EROAD,346
Lagebroek,Stramproy,EROAD,224
Lage Vuursche,Oude Leije,EROAD,57
Lakerveld,Velsen-Noord,EROAD,114
Langbroek,Maarssen,EROAD,186
Lange Linschoten,Duiven,EROAD,330
Leerbroek,Nes,EROAD,25
Leerdam,Doldersum,EROAD,220
Leersum,Huis ter Heide,EROAD,28
Leusden,Vosberg,EROAD,112
Leusden-Zuid,Vierbannen,EROAD,332
Lexmond,'t Schoor,EROAD,173
Linschoten,"Geer, Vijfheerenlanden",EROAD,303
Loenen aan de Vecht,Kerk-Avezaath,EROAD,230
Loenersloot,Oosterhout,EROAD,297
Loosdorp,Nijelamer,EROAD,345
Lopik,Nieuw-Beerta,EROAD,326
Lopikerkapel,Hert,EROAD,345
Maarn,Zittend,EROAD,315
Maarsbergen,Honswijk,EROAD,156
Maarssen,De Moer,EROAD,191
Maartensdijk,Kadoelen,EROAD,169
Mastwijk,Heikant,EROAD,48
Meerkerk,Hellouw,EROAD,359
Middelkoop,Groote Hoeven,EROAD,308
Mijdrecht,De Pan,EROAD,273
Mijnden,Staveren,EROAD,95
Molenbuurt,Haarle,EROAD,142
Molenpolder,Sint Maartenszee,EROAD,73
Montfoort,Nieuwgraaf,EROAD,303
Musschendorp,Alinghuizen,EROAD,243
Nessersluis,Vatrop,EROAD,176
Nieuwegein,Bontemorgen,EROAD,189
Nieuwerhoek,Schoelieberg,EROAD,127
Nieuwersluis,Klei,EROAD,211
Nieuwer-Ter-Aa,Pepinusbrug,EROAD,129
Nieuwe-Wetering,Hemrik,EROAD,327
Nieuwland,Meertenwei,EROAD,198
